Name,Location,Latitude,Longitude,CI_cyano(CyAN),CI_cyano(S3),CI_cyano(PACE)
pin_67,Lake Erie,41.705446,-83.108286,0.014312432,0.008890809,0.007891256
pin_68,Lake Erie,41.718511,-83.082155,0.011849921,0.009843978,0.012311471
pin_69,Lake Erie,41.731577,-83.056023,0.005876943,0.004600497,0.005877733
pin_70,Lake Erie,41.757708,-83.042958,5.78E-04,0.003773368,0.002677303
pin_71,Lake Erie,41.770774,-83.016826,0.002286448,0.001496893,0.001174431
pin_72,Lake Erie,41.653183,-83.147483,0.003921403,0.003814447,0.003176068
pin_73,Lake Erie,41.666249,-83.121352,0.004251904,0.007127395,0.003128826
pin_74,Lake Erie,41.679314,-83.09522,0.00486579,0.004668385,0.002864368
pin_75,Lake Erie,41.69238,-83.069089,1.11E-04,0.002935551,0.003079347
pin_76,Lake Erie,41.718511,-83.056023,0.001944811,0.003848539,0.004057014
pin_77,Lake Erie,41.627052,-83.108286,0.023893483,0.025933966,0.013757176
pin_78,Lake Erie,41.640117,-83.082155,0.00486579,0.004722042,0.003850379
pin_79,Lake Erie,41.627052,-83.082155,0.005876943,0.005335956,0.018389096
pin_80,Lake Erie,41.613986,-83.056023,0.025907254,0.024968354,0.012830102
pin_81,Lake Erie,41.613986,-83.042958,0.002688101,0.003434535,0.016956279
pin_82,Lake Erie,41.613986,-83.016826,0.010354889,0.005971419,0.008216994
pin_83,Lake Erie,41.613986,-83.003761,0.005720546,0.005028138,0.008216994
pin_84,Lake Erie,41.613986,-82.97763,0.010637986,0.009725639,0.016785486
pin_85,Lake Erie,41.613986,-82.951498,0.011849921,0.013241651,0.01172017
pin_86,Lake Erie,41.640117,-82.938433,0.001699446,0.003574935,0.006274011
pin_87,Lake Erie,41.666249,-82.925367,0.008807678,0.008107374,0.007881409
pin_88,Lake Erie,41.653183,-82.899236,0.011534568,0.010385899,0.009189469
pin_89,Lake Erie,41.640117,-82.912301,0.00672545,0.006043052,0.004273466
pin_90,Lake Erie,41.613986,-82.925367,0.012848647,0.012067452,0.006384659
pin_91,Lake Erie,41.600921,-82.951498,0.020323357,0.017031891,0.012297077
pin_92,Lake Erie,41.587855,-82.964564,0.01250672,0.007180012,0.007621576
